#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T01:20:00Z,0.5347020489190002,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T01:30:00Z,0.5213768157317484,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T01:40:00Z,0.519776949706472,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T01:50:00Z,0.5246874998715372,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T02:00:00Z,0.5234050866100884,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T02:10:00Z,0.527737426436146,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T02:20:00Z,0.5219836980892102,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T02:30:00Z,0.5244451086893155,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T02:40:00Z,0.5208448841287763,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T02:50:00Z,0.5249779554407037,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T03:00:00Z,0.5182080463007742,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T03:10:00Z,0.5252901286948222,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T03:20:00Z,0.5187548291800641,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T03:30:00Z,0.5249777534514495,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T03:40:00Z,0.5323740482625822,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T03:50:00Z,0.5177295578213862,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T04:00:00Z,0.5185271183880857,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T04:10:00Z,0.5161052051563609,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T04:20:00Z,0.5256793512030382,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T04:30:00Z,0.5238777149338637,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T04:40:00Z,0.5158291338645309,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T04:50:00Z,0.5412721762557703,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T05:00:00Z,0.785321427616006,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T05:10:00Z,0.5209367293761088,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T05:20:00Z,0.525614347699222,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T05:30:00Z,0.5132709820403986,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T05:40:00Z,0.523132434252753,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T05:50:00Z,0.5242988198442903,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T06:00:00Z,0.5214925198710073,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T06:10:00Z,0.5229576325687495,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T06:20:00Z,0.5377725292833042,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T06:30:00Z,0.5246497974224205,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T06:40:00Z,0.5205559104042922,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T06:50:00Z,0.5205156573030167,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T07:00:00Z,0.5172321773543673,usage_user,cpu,cpu-total,35c4ab29f7e3
,,0,2025-04-19T01:10:03.197979762Z,2025-04-21T01:10:03.197979762Z,2025-04-19T07:10:00Z,0.5199176751652245,usage_user,cpu,cpu-total,35c4ab29f7e3
