#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,name
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T01:20:00Z,23365872.4,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T01:30:00Z,23367743.366666667,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T01:40:00Z,23371036.833333332,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T01:50:00Z,23374305.666666668,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T02:00:00Z,23377664.666666668,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T02:10:00Z,23380861.166666668,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T02:20:00Z,23384101.466666665,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T02:30:00Z,23387301.733333334,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T02:40:00Z,23390467,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T02:50:00Z,23393674.4,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T03:00:00Z,23396842.566666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T03:10:00Z,23400151.366666667,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T03:20:00Z,23403564.633333333,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T03:30:00Z,23407009.6,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T03:40:00Z,23410510.266666666,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T03:50:00Z,23413922.6,io_time,diskio,35c4ab29f7e3,sda
,,0,2025-04-19T01:19:05.408507005Z,2025-04-21T01:19:05.408507005Z,2025-04-19T04:00:00Z,23417239.433333334,io_time,diskio,35c4ab29f7e3,sda
